Year,GLD,XUS_TSM,XUS_LCB,XUS_LCV,XUS_LCG,XUS_MCB,XUS_MCV,XUS_MCG,XUS_SCB,XUS_SCV,XUS_SCG,XUS_LT,XUS_IT,XUS_ST,EM_TSM,USA_TSM,USA_LCB,USA_LCV,USA_LCG,USA_MCB,USA_MCV,USA_MCG,USA_SCB,USA_SCV,USA_SCG,USA_LT,USA_IT,USA_ST,USA_BIL,USA_REIT,EUR-TSM,USA_INF
1984,-0.193776151,0.050095861,0.057060331,0.012227926,0.102965734,0.034024393,0.056125544,0.011199107,0.034024393,0.056125544,0.011199107,0.040657045,-0.000328685,-0.022107496,0.170123005,0.045813349,0.075296741,0.126822693,0.01778111,-0.013767233,0.034776657,-0.057383139,-0.024461177,0.062299549,-0.107522802,0.13933287,0.131603393,0.126203568,0.10365,0.2092726,-0.005777727,0.04300536
1985,0.060006487,0.513945262,0.512878573,0.533405011,0.489723689,0.515416994,0.55529066,0.482972484,0.515416994,0.55529066,0.482972484,0.46572978,0.38367652,0.37100202,0.277684122,0.325029074,0.325674266,0.304542565,0.347908236,0.32200379,0.319496699,0.324592343,0.336833729,0.364053122,0.310762482,0.304923875,0.227895892,0.138325248,0.080475,0.1909655,0.771576599,0.03545644
1986,0.189718482,0.634074822,0.656310832,0.728707028,0.59014122,0.576848767,0.582514339,0.5718531,0.576848767,0.582514339,0.5718531,0.41887935,0.363895369,0.312165628,0.117356533,0.167605336,0.182644406,0.204077881,0.163324226,0.1737934,0.182295015,0.161087868,0.09441768,0.136704602,0.055251439,0.255790737,0.173939248,0.108929342,0.06518333,0.1915786,0.433826145,0.01898048
1987,0.245113169,0.231962404,0.214585114,0.224471284,0.217107588,0.279392599,0.342148751,0.218500244,0.279392599,0.342148751,0.218500244,0.319920879,0.349406112,0.347052013,0.1434883,0.021550047,0.042508893,0.01849859,0.066731693,0.004210957,-0.012528968,0.016360036,-0.060950094,-0.040587303,-0.08105427,-0.018875036,0.007670347,0.051005534,0.06860833,-0.036406,0.051531202,0.03664563
1988,-0.152034704,0.245360474,0.226720155,0.316087145,0.138798322,0.28722588,0.329629303,0.243393288,0.28722588,0.329629303,0.243393288,0.041143077,0.009170603,-0.00087272,0.400070788,0.179393028,0.163188564,0.200590636,0.130871064,0.20115194,0.246431021,0.152453259,0.228397279,0.289409239,0.16883523,0.097959784,0.066727134,0.064433114,0.077275,0.1348643,0.148581656,0.04077741
1989,-0.029013398,0.1101563,0.059318062,0.079883912,0.038755173,0.23229664,0.268565403,0.195239269,0.23229664,0.268565403,0.195239269,-0.042614177,-0.02083102,-0.001752531,0.644672782,0.29399317,0.321935499,0.276708454,0.374166376,0.26733483,0.257091777,0.278447198,0.197888133,0.194160044,0.202611283,0.184528688,0.147184233,0.108284129,0.09085,0.0884116,0.281312877,0.04827003
1990,-0.031109662,-0.231704692,-0.230283897,-0.218196533,-0.242418889,-0.237145338,-0.239335173,-0.239065435,-0.237145338,-0.239335173,-0.239065435,0.140840202,0.171712372,0.229246461,-0.108183151,-0.055787111,-0.021808661,-0.05390436,0.015835539,-0.106600573,-0.161526959,-0.049325283,-0.154112125,-0.175512855,-0.131752165,0.060318076,0.085452027,0.08895876,0.081475,-0.1535117,-0.044564277,0.05397956
1991,-0.085579637,0.09811065,0.110456535,0.107040467,0.113351336,0.054182144,0.062192932,0.041845973,0.055929815,0.046184288,0.060684149,0.189588602,0.14443348,0.119419158,0.594322632,0.344565938,0.313421559,0.181041381,0.460773196,0.398116515,0.397658147,0.397669534,0.451377352,0.411090437,0.492915999,0.179324565,0.158235591,0.112950534,0.05835,0.3569581,0.103669692,0.04234964
1992,-0.057342697,-0.150186732,-0.144957691,-0.125511832,-0.170664413,-0.17163575,-0.158847059,-0.180471341,-0.167619959,-0.160319536,-0.172622218,0.022688768,0.032838661,0.014512023,0.110704586,0.096119723,0.068494704,0.093035172,0.038952037,0.146888796,0.198828624,0.095893647,0.189793955,0.279043333,0.09999485,0.080265517,0.074217915,0.063794992,0.03681667,0.1458972,-0.075193466,0.0302882
1993,0.176815164,0.301998906,0.287644916,0.341485524,0.237038968,0.305879871,0.373321009,0.25680364,0.363359787,0.418215009,0.315928826,0.314370148,0.184298101,0.102238593,0.74314008,0.105408269,0.081178464,0.186455587,-0.013058472,0.160902587,0.169825232,0.149656932,0.166422513,0.226180404,0.113135161,0.173403409,0.118605428,0.063497802,0.03174167,0.1965465,0.285749774,0.02951657
